N,hilos,prog,mean_us,sigma_us,n
64,1,mmClasicaFork,800,200,30
64,1,mmClasicaOpenMP,204,96,30
64,1,mmClasicaPosix,829,288,30
64,1,mmFilasOpenMP,145,44,30
64,2,mmClasicaFork,802,174,30
64,2,mmClasicaOpenMP,273,112,30
64,2,mmClasicaPosix,597,178,30
64,2,mmFilasOpenMP,203,55,30
64,4,mmClasicaFork,1002,166,30
64,4,mmClasicaOpenMP,331,59,30
64,4,mmClasicaPosix,716,121,30
64,4,mmFilasOpenMP,343,54,30
64,8,mmClasicaFork,1569,182,30
64,8,mmClasicaOpenMP,862,112,30
64,8,mmClasicaPosix,1024,128,30
64,8,mmFilasOpenMP,873,107,30
128,1,mmClasicaFork,8524,1643,30
128,1,mmClasicaOpenMP,2321,46,30
128,1,mmClasicaPosix,3088,324,30
128,1,mmFilasOpenMP,1383,54,30
128,2,mmClasicaFork,13458,4687,30
128,2,mmClasicaOpenMP,1557,385,30
128,2,mmClasicaPosix,2866,288,30
128,2,mmFilasOpenMP,1009,291,30
128,4,mmClasicaFork,28536,5219,30
128,4,mmClasicaOpenMP,1260,294,30
128,4,mmClasicaPosix,3212,193,30
128,4,mmFilasOpenMP,1032,222,30
128,8,mmClasicaFork,56323,11095,30
128,8,mmClasicaOpenMP,1640,194,30
128,8,mmClasicaPosix,3207,212,30
128,8,mmFilasOpenMP,1389,209,30
256,1,mmClasicaFork,45011,3127,30
256,1,mmClasicaOpenMP,43464,3938,30
256,1,mmClasicaPosix,41978,1057,30
256,1,mmFilasOpenMP,12183,238,30
256,2,mmClasicaFork,23553,1618,30
256,2,mmClasicaOpenMP,21663,917,30
256,2,mmClasicaPosix,25038,1222,30
256,2,mmFilasOpenMP,6955,441,30
256,4,mmClasicaFork,15698,6097,30
256,4,mmClasicaOpenMP,11592,458,30
256,4,mmClasicaPosix,21227,797,30
256,4,mmFilasOpenMP,4344,394,30
256,8,mmClasicaFork,12541,992,30
256,8,mmClasicaOpenMP,10924,474,30
256,8,mmClasicaPosix,18987,424,30
256,8,mmFilasOpenMP,4122,269,30
512,1,mmClasicaFork,1309416,1600110,30
512,1,mmClasicaOpenMP,820656,467597,30
512,1,mmClasicaPosix,809638,463527,30
512,1,mmFilasOpenMP,23305,1435691,30
512,2,mmClasicaFork,656414,307492,30
512,2,mmClasicaOpenMP,806260,280792,30
512,2,mmClasicaPosix,489111,531518,30
512,2,mmFilasOpenMP,-27038,453364,30
512,4,mmClasicaFork,357413,548028,30
512,4,mmClasicaOpenMP,344094,178257,30
512,4,mmClasicaPosix,302841,58948,30
512,4,mmFilasOpenMP,32940,2590,30
512,8,mmClasicaFork,235665,46820,30
512,8,mmClasicaOpenMP,198927,37802,30
512,8,mmClasicaPosix,239466,47886,30
512,8,mmFilasOpenMP,24078,1893,30
